date_and_time,Open,High,Low,Close
2020.04.20 00:00,1.08677,1.08768,1.08561,1.08603
2020.04.20 04:00,1.08602,1.08719,1.08578,1.08708
2020.04.20 08:00,1.08707,1.08793,1.08414,1.08787
2020.04.20 12:00,1.08788,1.08965,1.08495,1.08624
2020.04.20 16:00,1.08624,1.0887,1.08497,1.087
2020.04.20 20:00,1.08704,1.08729,1.0855,1.08621
2020.04.21 00:00,1.08597,1.08699,1.08533,1.08559
2020.04.21 04:00,1.08559,1.08593,1.08255,1.08327
2020.04.21 08:00,1.08327,1.08468,1.08199,1.08369
2020.04.21 12:00,1.0837,1.08529,1.08228,1.08287
2020.04.21 16:00,1.08287,1.088,1.08163,1.0844
2020.04.21 20:00,1.0844,1.08656,1.08414,1.08566
2020.04.22 00:00,1.08543,1.08627,1.0849,1.08546
2020.04.22 04:00,1.08546,1.08607,1.08448,1.08461
2020.04.22 08:00,1.08461,1.08733,1.08451,1.08596
2020.04.22 12:00,1.08596,1.0885,1.08571,1.08684
2020.04.22 16:00,1.08683,1.08716,1.08098,1.08155
2020.04.22 20:00,1.08155,1.08255,1.0803,1.08227
2020.04.23 00:00,1.08197,1.08241,1.08045,1.08109
2020.04.23 04:00,1.08111,1.08217,1.08078,1.08153
2020.04.23 08:00,1.08153,1.08341,1.07841,1.07959
2020.04.23 12:00,1.07959,1.07992,1.07559,1.07882
2020.04.23 16:00,1.07878,1.08464,1.07805,1.08134
2020.04.23 20:00,1.08136,1.08141,1.07617,1.07748
2020.04.24 00:00,1.07729,1.07847,1.07612,1.07661
2020.04.24 04:00,1.07658,1.07743,1.07631,1.07714
2020.04.24 08:00,1.07712,1.07712,1.07268,1.07556
2020.04.24 12:00,1.07556,1.08097,1.07495,1.08027
2020.04.24 16:00,1.08028,1.08195,1.07841,1.07878
2020.04.24 20:00,1.0788,1.08291,1.07843,1.08214
2020.04.27 00:00,1.08173,1.08224,1.08111,1.08179
2020.04.27 04:00,1.08179,1.08429,1.0817,1.08382
2020.04.27 08:00,1.08382,1.0859,1.08327,1.08495
2020.04.27 12:00,1.08495,1.08597,1.08336,1.08512
2020.04.27 16:00,1.08512,1.08572,1.08162,1.08212
2020.04.27 20:00,1.08211,1.08339,1.08204,1.08291
2020.04.28 00:00,1.0827,1.08358,1.08153,1.08327
2020.04.28 04:00,1.08327,1.08341,1.08167,1.08214
2020.04.28 08:00,1.08214,1.0858,1.08095,1.085
2020.04.28 12:00,1.08498,1.08882,1.08439,1.08701
2020.04.28 16:00,1.08701,1.08745,1.08244,1.08312
2020.04.28 20:00,1.08315,1.08396,1.08176,1.08194
2020.04.29 00:00,1.08178,1.08419,1.08175,1.08413
2020.04.29 04:00,1.08413,1.08542,1.0839,1.08495
2020.04.29 08:00,1.08495,1.08739,1.08392,1.0866
2020.04.29 12:00,1.0866,1.08724,1.08394,1.0857
2020.04.29 16:00,1.08569,1.0868,1.08424,1.08475
2020.04.29 20:00,1.08475,1.08856,1.08467,1.0875
2020.04.30 00:00,1.08712,1.08807,1.08512,1.08588
2020.04.30 04:00,1.08588,1.08712,1.08545,1.08597
2020.04.30 08:00,1.08597,1.08912,1.08533,1.08858
